character,decomposition,definition,etymology_hint,etymology_phonetic,etymology_semantic,etymology_type,matches,pinyin,radical
任,⿰亻壬,"to trust, to rely on; to appoint; to bear; duty, office",person,壬,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",rèn,亻
份,⿰亻分,"job, part, role; duty",The lot or portion 分 allotted to a man 亻,,,ideographic,"[0],[0],[1],[1],[1],[1]",fèn,亻
仿,⿰亻方,"to imitate, to copy; fake; as if",to imitate a person,方,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",fǎng,亻
企,⿱人止,to plan a project; to stand on tiptoe,A man 人 on his feet 止; 止 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1]",qǐ,人
伄,⿰亻弔,"seldom, irregularly",person,弔,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",diào,亻
伉,⿰亻亢,"husband, wife; pair; compare, match",person,亢,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",kàng,亻
伊,⿰亻尹,"he she; this, that; used in transliterations",person,尹,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",yī,亻
伍,⿰亻五,"five, company of five; troops",Five 五 people 亻; 五 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1]",wǔ,亻
伎,⿰亻支,"talent, skill, craft, ability",A man 亻 who can support 支 someone,,,ideographic,"[0],[0],[1],[1],[1],[1]",jì,亻
伏,⿰亻犬,"to crouch, to crawl, to lie hidden, to conceal",A person 亻 acting like a dog 犬,,,ideographic,"[0],[0],[1],[1],[1],[1]",fú,亻
伐,⿰亻戈,"cut down, subjugate, attack",A person 亻 attacked 戈,,,ideographic,"[0],[0],[1],[1],[1],[1]",fá,亻
休,⿰亻木,to rest; to stop; to retire,A person 亻 leaning against a tree 木,,,ideographic,"[0],[0],[1],[1],[1],[1]",xiū,亻
伕,⿰亻夫,manual laborer,A working 夫 man 亻; 夫 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1]",fū,亻
众,⿱人⿰人人,"multitude, crowd; masses, public",Three people 人 representing a crowd,,,ideographic,"[0],[0],[1, 0],[1, 0],[1, 1],[1, 1]",zhòng,人
优,⿰亻尤,superior; elegant,person,尤,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",yōu,亻
伙,⿰亻火,"companion, colleague; utensils",person,火,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",huǒ,亻
会,⿱人云,"to assemble, to meet; meeting; association, group",People 人 speaking 云,,,ideographic,"[0],[0],[1],[1],[1],[1]",huì,人
伛,⿰亻区,humpback; stoop,A person 亻 forced into a box 区,,,ideographic,"[0],[0],[1],[1],[1],[1]",yǔ,亻
伞,⿱人？,"umbrella, parasol, parachute",An umbrella,,,pictographic,"[0],[0],None,None,None,None",sǎn,人
伟,⿰亻韦,"great, imposing; extraordinary",person,韦,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",wěi,亻
传,⿰亻专,to pass on; to propagate; to transmit; summons,people,专,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",chuán,亻
伢,⿰亻牙,child,person,牙,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",yá,亻
伤,⿰亻⿱？力,"to injure, to harm; wound, injury; to fall ill",,,,,"[0],[0],None,None,[1, 1],[1, 1]",shāng,亻
伥,⿰亻长,the ghost of one devoured by a tiger,person,长,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",chāng,亻
伦,⿰亻仑,human relationships; society,The logical order 仑 of human 亻 society; 仑 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1]",lún,亻
伧,⿰亻仓,"vulgar person, country man",A person 亻 from the farm 仓; 仓 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1]",cāng,亻
伪,⿰亻为,"false, counterfeit, bogus",,为,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",wěi,亻
伫,⿰亻⿱宀一,to wait; to look towards; to turn one's back on,,,,,"[0],[0],[1, 0],[1, 0],[1, 0],[1, 1]",zhù,亻
伯,⿰亻白,"older brother; father's elder brother; sir, sire, count",person,白,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",bó,亻
估,⿰亻古,"merchant; to estimate, to guess, to presume",person,古,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",gū,亻
伲,⿰亻尼,we (Shanghai dialect),people,尼,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",nì,亻
伴,⿰亻半,"companion, comrade, partner; to accompany",person,半,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",bàn,亻
伶,⿰亻令,"clever; lonely, solitary",person,令,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",líng,亻
伸,⿰亻申,"to extend, to stretch out, to open up; to trust",To extend your confidence 申 to another person 亻; 申 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",shēn,亻
伺,⿰亻司,"to serve, to wait upon, to attend; to examine",person,司,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",cì,亻
似,⿰亻以,"resembling, similar to; as if, to seem",One person 亻 resembles another,,,ideographic,"[0],[0],[1],[1],[1],[1]",shì,亻
伽,⿰亻加,temple; used to transliterations,person,加,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]","jiā,gā",亻
伾,⿰亻丕,mighty,A great 丕 man 亻; 丕 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",pī,亻
佃,⿰亻田,tenant farmer; to be a tenant farmer,A person 亻 on the farm 田; 田 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",diàn,亻
但,⿰亻旦,"only; but, however, yet, still",,旦,,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",dàn,亻
佇,⿰亻宁,to wait; to look towards; to turn one's back on,A calm 宁 person 亻,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",zhù,亻
佈,⿰亻布,"to spread, to publicize, to announce",A person 亻 making an announcement 布; 布 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",bù,亻
佉,⿰亻去,the name of a divine being; surname,person,去,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",qū,亻
位,⿰亻立,"seat, throne; rank, status; position, location",The place where a person 亻 stands 立,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",wèi,亻
低,⿰亻氐,"low; to lower, to hang; to bend, to bow",,氐,,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",dī,亻
住,⿰亻主,"to reside, to live at, to dwell, to lodge; to stop",A person 亻 who hosts 主; 主 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",zhù,亻
佐,⿰亻左,"to assist, to aid; subordinate, second",person,左,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",zuǒ,亻
佑,⿰亻右,to help; to protect; to bless,person,右,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",yòu,亻
体,⿰亻本,"body; group, class; form, style, system",,,,,"[0],[0],[1],[1],[1],[1],[1]",tǐ,亻
佔,⿰亻占,"to possess, to usurp, to take by force",person,占,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",zhàn,亻
何,⿰亻可,"what, why, where, which, how",,,,,"[0],[0],[1],[1],[1],[1],[1]",hé,亻
佗,⿰亻它,"other, he; surname; a load",Another 它 person 亻; see 他 and 她 for modern variants,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",tuó,亻
佘,⿱人示,surname,person,示,人,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",shé,人
余,⿱人？,"surplus, remainder; surname",,,,,"[0],[0],None,None,None,None,None",yú,人
佚,⿰亻失,to indulge in pleasures; to flee,To lose 失 a person 亻,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",yì,亻
佛,⿰亻弗,Buddha; Buddhist,person,弗,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",fú,亻
作,⿰亻乍,"to make; to write, to compose; to act, to perform",A person 亻 making something for the first time 乍; 乍 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",zuò,亻
佝,⿰亻句,rickets,,,,,"[0],[0],[1],[1],[1],[1],[1]",gōu,亻
佞,⿰亻⿱二女,flattery; glib,Kindness 仁 toward a woman 女,,,ideographic,"[0],[0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1]",nìng,亻
佟,⿰亻冬,surname,person,冬,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",tóng,亻
你,⿰亻尔,"you, second person pronoun",Pronoun 尔 for a person 亻,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",nǐ,亻
佣,⿰亻用,"to hire, to employ; commission; servant",An employed 用 person 亻; 用 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1]",yōng,亻
佤,⿰亻瓦,The Va people (an ethnic group in Myanmar and southwest China),people,瓦,亻,pictophonetic,"[0],[0],[1],[1],[1],[1]",wǎ,亻
佥,⿳亼⺍一,"all, together, unanimous",Many people gathered 亼 under one roof,,,ideographic,"[0],[0],[0],[1],[1],[1],[2]",qiān,人
佧,⿰亻卡,an ancient tribe in China,people,卡,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1]",kǎ,亻
佩,⿰亻⿵凡巾,"belt ornament, pendant; wear at waist, tie to the belt; respect",Common 凡 cloth 巾 ornaments worn by people 亻,,,ideographic,"[0],[0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1]",pèi,亻
佬,⿰亻老,elder; mature,An old 老 person 亻; 老 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",lǎo,亻
佯,⿰亻羊,"to pretend, to feign; false, deceitful",person,羊,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",yáng,亻
佰,⿰亻百,hundred,One hundred 百 people 亻; 百 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",bǎi,亻
佳,⿰亻圭,"good, auspicious; beautiful; delightful",person,圭,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",jiā,亻
佴,⿰亻耳,"a second, an assistant",A second 耳 person 亻; 耳 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",èr,亻
併,⿰亻并,"to combine, to annex; also, what's more",A conqueror 亻 taking land 并; 并 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",bìng,亻
佶,⿰亻吉,"strong, robust; exact, correct",person,吉,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",jí,亻
佻,⿰亻兆,"frivolous, unsteady; delay",,,,,"[0],[0],[1],[1],[1],[1],[1],[1]",tiāo,亻
佼,⿰亻交,"beautiful, handsome, good-looking",person,交,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",jiǎo,亻
佽,⿰亻次,"to help, to aid",person,次,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",cì,亻
佾,⿰亻⿱八月,a row or file of dancers,,,,,"[0],[0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1],[1, 1]",yì,亻
使,⿰亻吏,"cause, mission, orders; envoy, messenger, ambassador",A person 亻 working for the government 吏,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",shǐ,亻
侃,⿰亻⿱口川,upright and strong; amiable,As trustworthy 㐰 as spring-water 川,,,ideographic,"[0],[0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1]",kǎn,亻
侄,⿰亻至,nephew,person,至,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",zhí,亻
來,⿻木从,"to arrive, to come, to return; in the future, later on",A wheat plant that has just borne fruit; compare 来,,,ideographic,"[0],[1],[1],[1],[1],[0],[0],[0]",lái,人
侈,⿰亻多,"luxurious, extravagant",A person 亻 with more than they need 多,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",chǐ,亻
侉,⿰亻夸,to speak with an accent; big and clumsy,person,夸,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",kuǎ,亻
例,⿰亻列,"precedent, example, case; regulation",person,列,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",lì,亻
侌,⿱今云,,,今,,pictophonetic,"[0],[0],[0],[0],[1],[1],[1],[1]",yīn,人
侍,⿰亻寺,"to serve, to attend upon; servant, attendant; samurai",person,寺,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",shì,亻
侏,⿰亻朱,"small, tiny; dwarf",person,朱,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",zhū,亻
侑,⿰亻有,"help, assist, repay kindness",person,有,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",yòu,亻
侔,⿰亻牟,equal,person,牟,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",móu,亻
侖,⿱亼冊,"logical reasons, logical order",To assemble 亼 a book 冊; to prepare an argument,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1]",lún,人
侗,⿰亻同,"big; ignorant, rude, rustic",person,同,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",dòng,亻
供,⿰亻共,"to supply, to provide for; to offer in worship",A person 亻 making an offering with both hands 共; 共 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",gōng,亻
依,⿰亻衣,"to rely on; to consent, to obey; according to",person,衣,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",yī,亻
侠,⿰亻夹,chivalrous person; knight-errant,person,夹,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",xiá,亻
侣,⿰亻吕,companion; associate with,person,吕,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",lǚ,亻
侥,⿰亻尧,"to be lucky; by chance, by luck",person,尧,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",jiǎo,亻
侦,⿰亻贞,"to spy, to reconnoiter; detective",person,贞,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",zhēn,亻
侧,⿰亻则,"side; to slant, to lean, to incline",person,则,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",cè,亻
侨,⿰亻乔,emigrant; to sojourn,person,乔,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",qiáo,亻
侩,⿰亻会,"go-between, broker, proxy",A person 亻 who organizes a meeting 会,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",kuài,亻
侪,⿰亻齐,"a class, a company; companion; together",person,齐,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",chái,亻
侬,⿰亻农,I; you; surname,person,农,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1]",nóng,亻
侮,⿰亻每,"insult, ridicule, disgrace",,,,,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",wǔ,亻
侯,⿰亻矦,"marquis, lord; target in archery",A person 亻 who might be a target 矦,,,pictographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",hóu,亻
侵,⿰亻⿳彐冖又,"to invade, to encroach upon, to raid",,,,,"[0],[0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 2],[1, 2]",qīn,亻
侶,⿰亻呂,companion; associate with,person,呂,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",lǚ,亻
侷,⿰亻局,"narrow, cramped, confined",person,局,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",jú,亻
便,⿰亻更,"easy, convenient; expedient",,,,,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",biàn,亻
係,⿰亻系,"system; line, link, connection",Someone 亻 who connects 系 people; 系 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",xì,亻
促,⿰亻足,"to urge, to rush, to hurry; hasty; near, close",Someone 亻 on your heels 足; 足 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",cù,亻
俄,⿰亻我,"sudden, abrupt; used in transliterations",,我,,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",é,亻
俅,⿰亻求,ornamental cap,,求,,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",qiú,亻
俉,⿰亻吾,scary; to frighten,person,吾,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",wǔ,亻
俊,⿰亻夋,"talented, capable; handsome",person,夋,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",jùn,亻
俎,⿰仌且,chopping board or block; painted,A slab of meat on a chopping board 且,,,pictographic,"[0],[0],[0],[0],[1],[1],[1],[1],[1]",zǔ,人
俏,⿰亻肖,"to resemble; similar, alike; pretty",A similar 肖 person 亻; 肖 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",qiào,亻
俐,⿰亻利,"smooth; active; clever, sharp",person,利,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",lì,亻
俑,⿰亻甬,wooden figure buried with dead,person,甬,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",yǒng,亻
俗,⿰亻谷,"social customs; vulgar, unrefined",person,谷,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",sú,亻
俘,⿰亻孚,prisoner of war; take as prisoner,person,孚,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",fú,亻
俚,⿰亻里,"rustic, vulgar, unpolished; mean",person,里,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",lǐ,亻
俛,⿰亻免,"to make an effort, to endeavor; to bear down",,,,,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",fǔ,亻
俜,⿰亻甹,to trust to; send a message,A trusted 甹 person 亻;  甹 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",pīng,亻
保,⿰亻呆,"to safeguard, to protect, to defend, to care for",person,呆,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",bǎo,亻
俞,⿱亼刖,"to consent, to approve; surname",,,,,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",yú,人
俟,⿰亻矣,"wait for, wait until, as soon as",A person 亻 waiting for something to finish 矣; 矣 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",qí,亻
俠,⿰亻夾,chivalrous person; knight-errant,Someone 亻 who supports 夾 others; 夾 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",xiá,亻
信,⿰亻言,"to trust, to believe; letter, sign",,,,,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",xìn,亻
俣,⿰亻吴,big,person,吴,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",yǔ,亻
俦,⿰亻寿,"companion, mate, colleague",Someone 亻 with you all your life 寿; 寿 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",chóu,亻
俨,⿰亻严,"grave, respectful; majestic",person,严,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",yǎn,亻
俩,⿰亻两,"two, a pair, a couple",A couple 寿; 寿 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",liǎ,亻
俪,⿰亻丽,"spouse; pair, couple",person,丽,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",lì,亻
俭,⿰亻佥,"temperate, frugal, economical",person,佥,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1]",jiǎn,亻
修,⿱攸彡,to study; to repair; to decorate; to cultivate,hair,攸,彡,pictophonetic,"[0],[0],[0],[0],[0],[0],[1],[1],[1]",xiū,亻
俯,⿰亻府,"to bow down, to face down, to look down",person,府,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",fǔ,亻
俱,⿰亻具,"all, together; accompany",person,具,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",jù,亻
俳,⿰亻非,actor; vaudeville show; insincere,person,非,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",pái,亻
俸,⿰亻奉,"wages, salary, official emolument",Wages offered 奉 to a person 亻; 奉 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",fèng,亻
俺,⿰亻奄,"I, me, my (some dialects)",person,奄,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",ǎn,亻
俾,⿰亻卑,"so that, in order that; to cause",,卑,,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",bǐ,亻
倀,⿰亻長,the ghost of one devoured by a tiger,person,長,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",chāng,亻
倆,⿰亻兩,"two, a pair, a couple",A couple 兩; 兩 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",liǎ,亻
倉,⿱人⿸户口,"granary, barn; cabin, berth","A granary with a roof 人, door 户, and foundation 口",,,ideographic,"[0],[0],None,[1, 0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1]",cāng,人
個,⿰亻固,"this, that; single; measure word for individuals",person,固,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",gè,亻
倌,⿰亻官,"assistant, hired hand",person,官,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",guān,亻
倍,⿰亻咅,to double; to increase or multiply,,,,,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",bèi,亻
倏,⿸攸犬,"hastily, suddenly, abruptly",dog,攸,犬,pictophonetic,"[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",shū,亻
們,⿰亻門,plural marker for pronouns and some nouns,people,門,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",men,亻
倒,⿰亻到,"to collapse, to fall over; to lie down",person,到,亻,pictophonetic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",dào,亻
倔,⿰亻屈,"stubborn, obstinate, intransigent; firm",Someone 亻 who does not bend 屈; 屈 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",jué,亻
倖,⿰亻幸,"lucky, fortunate; to spoil, to dote on",A lucky 幸 person 亻; 幸 also provides the pronunciation,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",xìng,亻
